latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
44.05713,-77.12151,295.16,0.32,0.55,2026-08-29,0758,N20,nominal,2.0NRT,283.74,0.72,N
47.47451,-103.21609,299.42,0.47,0.64,2026-08-29,0801,N20,nominal,2.0NRT,275.76,0.9,N
42.49588,-73.81509,297.1,0.51,0.66,2026-08-29,0801,N20,nominal,2.0NRT,285.05,0.68,N
43.08249,-77.38155,306.73,0.33,0.55,2026-08-29,0801,N20,nominal,2.0NRT,283.61,0.68,N
42.05382,-73.97893,309.46,0.52,0.66,2026-08-29,0801,N20,nominal,2.0NRT,283.78,0.8,N
43.27474,-79.79599,330.21,0.5,0.49,2026-08-29,0801,N20,nominal,2.0NRT,288.62,4.8,N
43.27333,-79.80984,323.08,0.5,0.49,2026-08-29,0801,N20,nominal,2.0NRT,286.68,3,N
43.2719,-79.80393,316.59,0.5,0.49,2026-08-29,0801,N20,nominal,2.0NRT,289.28,3,N
43.2676,-79.80592,317.11,0.5,0.49,2026-08-29,0801,N20,nominal,2.0NRT,288.36,3,N
43.26329,-79.80789,327.95,0.5,0.49,2026-08-29,0801,N20,nominal,2.0NRT,288.57,3.92,N
43.2922,-79.98508,302.19,0.49,0.49,2026-08-29,0801,N20,nominal,2.0NRT,284.21,1.29,N
42.81631,-80.09614,318.88,0.5,0.49,2026-08-29,0801,N20,nominal,2.0NRT,284.11,2.67,N
42.81202,-80.09807,319.71,0.5,0.49,2026-08-29,0801,N20,nominal,2.0NRT,284.98,2.67,N
42.80772,-80.09998,327.6,0.5,0.49,2026-08-29,0801,N20,nominal,2.0NRT,286.43,3.5,N
42.80926,-80.0994,318.62,0.5,0.49,2026-08-29,0801,N20,nominal,2.0NRT,284.96,2.67,N
42.80495,-80.10133,302.06,0.5,0.49,2026-08-29,0801,N20,nominal,2.0NRT,282.7,2.67,N
42.946,-82.41677,300.29,0.39,0.44,2026-08-29,0801,N20,nominal,2.0NRT,273.51,0.94,N
40.63816,-74.22211,304.57,0.55,0.68,2026-08-29,0801,N20,nominal,2.0NRT,289.36,1.29,N
22.65696,-97.68329,310.92,0.42,0.38,2026-08-29,0805,N20,nominal,2.0NRT,294.13,1.11,N
42.72425,-83.26157,301.11,0.54,0.42,2026-08-29,0801,N20,nominal,2.0NRT,287.09,0.55,N
22.65637,-97.67918,307.23,0.42,0.38,2026-08-29,0805,N20,nominal,2.0NRT,294.25,1.11,N
40.71863,-75.39593,300.32,0.48,0.65,2026-08-29,0801,N20,nominal,2.0NRT,286.19,0.85,N
22.26571,-97.80571,336.61,0.43,0.38,2026-08-29,0805,N20,nominal,2.0NRT,296.46,4.55,N
40.47243,-75.89307,299.25,0.46,0.64,2026-08-29,0801,N20,nominal,2.0NRT,287.26,0.75,N
22.2663,-97.80982,310.29,0.43,0.38,2026-08-29,0805,N20,nominal,2.0NRT,295.26,4.55,N
42.28351,-83.11188,306.98,0.56,0.43,2026-08-29,0801,N20,nominal,2.0NRT,288.7,1.25,N
22.26225,-97.80629,340.31,0.43,0.38,2026-08-29,0805,N20,nominal,2.0NRT,295.44,3.15,N
42.2797,-83.11337,299.13,0.56,0.43,2026-08-29,0801,N20,nominal,2.0NRT,287.6,1.25,N
42.27826,-83.10681,309.01,0.56,0.43,2026-08-29,0801,N20,nominal,2.0NRT,290.24,1.25,N
22.26284,-97.81039,308.2,0.43,0.38,2026-08-29,0805,N20,nominal,2.0NRT,294.55,3.15,N
42.27875,-83.12796,302.21,0.56,0.43,2026-08-29,0801,N20,nominal,2.0NRT,288.65,0.67,N
42.8202,-86.0014,299.14,0.43,0.38,2026-08-29,0801,N20,nominal,2.0NRT,287.36,1.24,N
22.25938,-97.81096,311.33,0.43,0.38,2026-08-29,0805,N20,nominal,2.0NRT,294.46,3.15,N
40.89255,-77.71152,321.52,0.37,0.58,2026-08-29,0801,N20,nominal,2.0NRT,285.52,1.67,N
22.04713,-98.87189,304.72,0.47,0.39,2026-08-29,0805,N20,nominal,2.0NRT,292.58,0.96,N
41.74971,-81.2839,312.47,0.46,0.47,2026-08-29,0801,N20,nominal,2.0NRT,287.98,1.68,N
22.04352,-98.87249,306.59,0.47,0.39,2026-08-29,0805,N20,nominal,2.0NRT,292.32,1.08,N
42.19973,-83.71944,296.64,0.53,0.42,2026-08-29,0801,N20,nominal,2.0NRT,284.9,0.3,N
21.53544,-98.56281,302.29,0.45,0.39,2026-08-29,0805,N20,nominal,2.0NRT,284.29,0.65,N
